cell_type,pearson_r,p_value,n
cd8_t_cell,0.11891970520935385,0.0022819141060738722,656
monocyte,-0.10139817758079134,0.009354795249529122,656
cd4_t_cell,0.05989325179641554,0.12540746999794858,656
neutrophil,-0.05163968248547632,0.18650796377384118,656
nk_cell,-0.011816917184789943,0.7625803448351365,656
b_cell,-0.003370183262107522,0.931343656057793,656
