seed,MAE,RMSE,R2,pearson_r,n_nonzero_cpgs,cg16867657_selected,cg16867657_rank_by_abs_coef
0,3.7495101870912495,5.300093464961544,0.8700836042640693,0.933341060119134,311,True,1
1,3.5400248729821406,4.4946155051874745,0.9023503762835514,0.9499611399030211,574,True,1
7,3.8492412278146455,5.023402519283787,0.9023278508347379,0.9501477580230185,411,True,1
21,3.374396699847597,4.495218804901937,0.8964317971400677,0.9495863586451532,432,True,1
42,3.703633684100527,4.934051858996752,0.8930417228637542,0.9451549784643478,691,True,1
